title,lastname,fullname,relation,actor,status
Mr.,Nugent,Alfred Nugent,Footman,Matt Milne,2
Mr.,Lang,Andrew Lang,Lord Grantham's valet,Cal Macaninch,3
Miss,Smith,Anna Smith,Head housemaid. later lady's maid,Joanne Froggatt,2
Miss,Patmore,Beryl Patmore,Cook,Lesley Nicol,2
Mr.,Carson,Charles Carson,Butler,Jim Carter,2
Miss,Robinson,Daisy Robinson,"Kitchen maid, later Assistant Cook",Sophie McShera,2
Dr.,Clarkson,Dr. Richard Clarkson,Medical doctor,David Robb,3
Duke of,Crowborough,Duke of Crowborough,"Suitor of Lady Mary, Lover of Thomas",Charlie Cox,3
Mrs.,Hughes,Elsie Hughes,Housekeeper,Phyllis Logan,2
Miss,Parks,Ethel Parks,"Housemaid, later Isobel Crawley's Housekeeper",Amy Nuttall,2
Miss,Dawson,Gwen Dawson,Housemaid,Rose Leslie,2
Miss,Stuart,Ivy Stuart,Kitchen maid,Cara Theobold,3
Miss,Moorsum,Jane Moorsum,Housemaid,Clare Calbraith,3
Mr.,Kent,Jimmy Kent,Footman,Edward Speleers,2
Mr.,Burns,Joe Burns,Mrs. Hughes's former suitor,Bill Fellows,3
Mr.,Bates,John Bates,Lord Grantham's valet,Brendan Coyle,2
Mr.,Drake,John Drake,Farmer on the Grantham estate,Fergus O'Donnell,3
Mr.,Molesley,Joseph Molesley,Matthew Crawley's butler and valet,Kevin Doyle,2
Mr.,Pamuk,Kemal Pamuk,Ottoman Empire (Turkish) Embassy attaché,Theo James,3
Mr.,Branson,Kieran Branson,Tom's brother,Ruairi Conaghan,3
Lady,Crawley,Lady Edith Crawley,Middle daughter of the Earl,Laura Carmichael,1
Lady,Crawley,Lady Mary Josephine Crawley,"Eldest daughter of the Earl; later, wife of Matthew Crawley",Michelle Dockery,1
Lady,Painswick,Lady Rosamund Painswick,Sister of the Earl,Samantha Bond,3
Lady,Branson,"Lady Sybil Crawley, later Sybil Branson","Youngest daughter of the Earl; later, wife of Tom Branson",Jessica Brown Findlay,1
Lieutenant,Courtenay,Lieutenant Edward Courtenay,Wounded officer,Lachlan Nieboer,3
Lord,Hepworth,Lord Hepworth,Suitor of Lady Rosamund,Nigel Havers,3
Major,Bryant,Major Charles Bryant,Wounded officer,Daniel Pirrie,3
Major,Gordon,Major Patrick Gordon,Wounded officer,Trevor White,3
Miss,Shore,Marigold Shore,Lady Rosamund's maid,Sharon Small,3
Mrs.,Levinson,Martha Levinson,American mother of the Countess of Grantham,Shirley MacLaine,3
Mr.,Gregson,Michael Gregson,Newspaper editor,Charles Edwards,3
Miss,Swire,Miss Lavinia Catherine Swire,fiancée of Matthew Crawley,Zoe Boyle,3
Mr.,Bryant,Mr. Bryant,Major Bryant's father,Kevin McNally,3
Mr.,Grigg,Mr. Charles Grigg,Former colleague of Carson's,Nicky Henson,3
Mr.,Mason,Mr. Mason,William's father,Paul Copley,3
Mr.,Murray,Mr. George Murray,Lord Grantham's lawyer,Jonathan Coy,3
Mr.,Lynch,Mr. Lynch,Groom,Andrew Westfield,3
Mr.,Crawley,Mr. Matthew Crawley,"Third cousin, once removed, of the Earl; heir presumptive to the title and estate",Dan Stevens,1
Mr.,Taylor,Mr. Taylor,Chauffeur,Lionel Guyett,3
Mr.,Branson,Mr. Tom Branson,"Originally a chauffeur, later Lady Sybil's husband",Allen Leech,1
Mrs.,Bird,Mrs. Bird,Matthew Crawley's cook,Christine Lohr,3
Mrs.,Bryant,Mrs. Bryant,Major Bryant's mother,Christine Mackie,3
Mrs.,Drake,Mrs. Drake,Wife of Mr Drake,Cathy Sara,3
Mrs.,Crawley,Mrs. Isobel Crawley,Matthew's mother,Penelope Wilton,1
Mrs.,O'Brien,Sarah O'Brien,Lady Grantham's lady's maid,Siobhan Finneran,2
Sir,Strallan,Sir Anthony Strallan,Family friend and suitor of Lady Edith,Robert Bathurst,3
Sir,Tapsell,Sir Philip Tapsell,London Obstetrician & gynaecologist,Tim Piggott-Smith,3
Sir,Carlisle,Sir Richard Carlisle,Publisher and Lady Mary's former suitor,Iain Glen,3
Mrs.,Napier,The Honorable Evelyn Napier,Suitor of Lady Mary,Brendan Patricks,3
Countess of,Grantham,"The Right Honourable Cora, Countess of Grantham",The American wife of the Earl,Elizabeth McGovern,1
Earl of,Grantham,"The Right Honourable Robert, Earl of Grantham",The Earl and the head of the Crawley family,Hugh Bonneville,1
Countess of,Grantham,"The Right Honourable Violet, Countess of Grantham",Dowager Countess and the Earl's mother,Maggie Smith,1
Mr.,Barrow,Thomas Barrow,"Footman, later Lord Grantham's valet, then underbutler",Rob James-Collier,2
Mrs.,Bates,Vera Bates,Wife of Mr Bates,Maria Doyle Kennedy,3
Mr.,Mason,William Mason,Footman,Thomas Howes,2
